"analysisby","posneutneg..negative","posneutneg..neutral","posneutneg..positive","se.posneutneg..negative","se.posneutneg..neutral","se.posneutneg..positive","DEff.posneutneg..negative","DEff.posneutneg..neutral","DEff.posneutneg..positive","question","byvar","var","support","%negative","%neutral","%positive"
"1",0.128354295766862,0.212774181207665,0.658871523025473,0.00772434539228496,0.0094253215963944,0.0108956162572382,1.31850285997041,1.31124005213542,1.30584910005525,"I have a say in services provided for the person(s) I look after","q37c","1","Received support or help",12.8,21.3,65.9
"999",0.176413429882136,0.317680301916469,0.505906268201396,0.0297190643697601,0.0360882800372745,0.0393190063009621,1.32078595225649,1.3054409986523,1.34378174822504,"I have a say in services provided for the person(s) I look after","q37c","999","Received support or help",17.6,31.8,50.6
"0",0.255802233014068,0.360513088698182,0.38368467828775,0.00359348016268318,0.00393499560208712,0.00398067320736994,1.27413271350705,1.26157380467899,1.25867175595489,"I have a say in services provided for the person(s) I look after","q37d","0","Received support or help",25.6,36.1,38.4
"1",0.0967907165440329,0.215270770621023,0.687938512834944,0.016549295684195,0.023749090739882,0.026450377765288,1.26793329976201,1.35128997041592,1.31896549888164,"I have a say in services provided for the person(s) I look after","q37d","1","Received support or help",9.7,21.5,68.8
"999",0.176413429882136,0.317680301916469,0.505906268201396,0.0297190643697601,0.0360882800372745,0.0393190063009621,1.32078595225649,1.3054409986523,1.34378174822504,"I have a say in services provided for the person(s) I look after","q37d","999","Received support or help",17.6,31.8,50.6
"0",0.256590982883823,0.36257696452012,0.380832052596056,0.00360562459298907,0.00394888239344708,0.00398200491318831,1.27432257671811,1.26156030122863,1.25732977794113,"I have a say in services provided for the person(s) I look after","q37e","0","Received support or help",25.7,36.3,38.1
"1",0.0970312063962032,0.162086372941298,0.740882420662498,0.0156350908927282,0.018853733878391,0.0225916203347648,1.36859326633143,1.28382769066684,1.30408633596818,"I have a say in services provided for the person(s) I look after","q37e","1","Received support or help",9.7,16.2,74.1
"999",0.176413429882136,0.317680301916469,0.505906268201396,0.0297190643697601,0.0360882800372745,0.0393190063009621,1.32078595225649,1.3054409986523,1.34378174822504,"I have a say in services provided for the person(s) I look after","q37e","999","Received support or help",17.6,31.8,50.6
"0",0.263613004814434,0.366805740440271,0.369581254745295,0.00374806324056353,0.00408257613003697,0.00408115211703415,1.27285588697093,1.26221648635204,1.25737513645598,"I have a say in services provided for the person(s) I look after","q37f","0","Received support or help",26.4,36.7,37
"1",0.131662247459985,0.256436148166149,0.611901604373866,0.00973060873783283,0.0123684162495227,0.0138298057329283,1.32450639828853,1.28308273003811,1.28804995720685,"I have a say in services provided for the person(s) I look after","q37f","1","Received support or help",13.2,25.6,61.2
"999",0.176413429882136,0.317680301916469,0.505906268201396,0.0297190643697601,0.0360882800372745,0.0393190063009621,1.32078595225649,1.3054409986523,1.34378174822504,"I have a say in services provided for the person(s) I look after","q37f","999","Received support or help",17.6,31.8,50.6
"0",0.162999897708574,0.293379031928155,0.543621070363272,0.00468472658825839,0.00576052657588862,0.00628576655948048,1.29664034386495,1.29024638697373,1.28368510995632,"I have a say in services provided for the person(s) I look after","q37g","0","Received no support or help",16.3,29.3,54.4
"1",0.315512772467192,0.402697923090406,0.281789304442403,0.00493796694329434,0.00520236918173295,0.00477650910936338,1.25638846376802,1.2520993757151,1.25445395276904,"I have a say in services provided for the person(s) I look after","q37g","1","Received no support or help",31.6,40.3,28.2
"999",0.176413429882136,0.317680301916469,0.505906268201396,0.0297190643697601,0.0360882800372745,0.0393190063009621,1.32078595225649,1.3054409986523,1.34378174822504,"I have a say in services provided for the person(s) I look after","q37g","999","Received no support or help",17.6,31.8,50.6
"0",0.325843350507305,0.395195511880011,0.278961137612685,0.00390329447214598,0.00406295174135965,0.00370853020065272,1.2680768617965,1.26272549492097,1.25012630090092,"Local services are well coordinated for the person(s) I look after","q37a","0","Received support or help",32.6,39.5,27.9
"1",0.170489871890507,0.179847415876462,0.649662712233031,0.0167015089722087,0.0167541560355348,0.0209046676322214,1.35871697932555,1.31094390782725,1.32266568784564,"Local services are well coordinated for the person(s) I look after","q37a","1","Received support or help",17,18,65
"999",0.192874663704158,0.364775964332191,0.44234937196365,0.0317960373731329,0.0382231859045658,0.0398622553767514,1.35261264342769,1.31324040330096,1.3416515318721,"Local services are well coordinated for the person(s) I look after","q37a","999","Received support or help",19.3,36.5,44.2
"0",0.34128482288388,0.394865160826896,0.263850016289224,0.00454095282586697,0.00468228512135292,0.00419800246294277,1.26805240985355,1.2684478188416,1.25435312053303,"Local services are well coordinated for the person(s) I look after","q37b","0","Received support or help",34.1,39.5,26.4
"1",0.264849919461607,0.369256170305954,0.365893910232439,0.00699280833903927,0.00757650012727172,0.00754593689539241,1.29269616318131,1.26860249667005,1.26321797390615,"Local services are well coordinated for the person(s) I look after","q37b","1","Received support or help",26.5,36.9,36.6
"999",0.192874663704158,0.364775964332191,0.44234937196365,0.0317960373731329,0.0382231859045658,0.0398622553767514,1.35261264342769,1.31324040330096,1.3416515318721,"Local services are well coordinated for the person(s) I look after","q37b","999","Received support or help",19.3,36.5,44.2
"0",0.335893393087491,0.41305302200985,0.251053584902658,0.00413589727379382,0.00430588482571651,0.00378374275043356,1.26222274207575,1.25879763940206,1.25331952854765,"Local services are well coordinated for the person(s) I look after","q37c","0","Received support or help",33.6,41.3,25.1
"1",0.212462250295553,0.210251206030387,0.577286543674059,0.00936239357939779,0.00926268146913614,0.0112197578129316,1.31604918164068,1.29806810953163,1.29592821637338,"Local services are well coordinated for the person(s) I look after","q37c","1","Received support or help",21.2,21,57.7
"999",0.192874663704158,0.364775964332191,0.44234937196365,0.0317960373731329,0.0382231859045658,0.0398622553767514,1.35261264342769,1.31324040330096,1.3416515318721,"Local services are well coordinated for the person(s) I look after","q37c","999","Received support or help",19.3,36.5,44.2
"0",0.323110550499337,0.39070427888555,0.286185170615113,0.00386741081260779,0.00402241290794275,0.00370550086380793,1.26989156497845,1.26209460992886,1.24811917113963,"Local services are well coordinated for the person(s) I look after","q37d","0","Received support or help",32.3,39.1,28.6
"1",0.195798045234105,0.249982412342397,0.554219542423499,0.0224279590722772,0.0249187607502498,0.0283686250169538,1.28662544096727,1.33388404962267,1.31195764096847,"Local services are well coordinated for the person(s) I look after","q37d","1","Received support or help",19.6,25,55.4
"999",0.192874663704158,0.364775964332191,0.44234937196365,0.0317960373731329,0.0382231859045658,0.0398622553767514,1.35261264342769,1.31324040330096,1.3416515318721,"Local services are well coordinated for the person(s) I look after","q37d","999","Received support or help",19.3,36.5,44.2
"0",0.323148894259624,0.392593409077928,0.284257696662448,0.00387637805922531,0.00403734892811601,0.0037115882837795,1.26953018601675,1.26315504402182,1.25123033863327,"Local services are well coordinated for the person(s) I look after","q37e","0","Received support or help",32.3,39.3,28.4
"1",0.221100851049387,0.205650602218794,0.573248546731819,0.0214401161641566,0.0210434248089791,0.0253750106514814,1.31493328152048,1.33540310546905,1.29662857527471,"Local services are well coordinated for the person(s) I look after","q37e","1","Received support or help",22.1,20.6,57.3
"999",0.192874663704158,0.364775964332191,0.44234937196365,0.0317960373731329,0.0382231859045658,0.0398622553767514,1.35261264342769,1.31324040330096,1.3416515318721,"Local services are well coordinated for the person(s) I look after","q37e","999","Received support or help",19.3,36.5,44.2
"0",0.329172338197784,0.396161893760555,0.274665768041661,0.00401683315822966,0.00416763380553903,0.00378101847678709,1.27100570484195,1.26299053754796,1.24821413662712,"Local services are well coordinated for the person(s) I look after","q37f","0","Received support or help",32.9,39.6,27.5
"1",0.225917841040169,0.297012255040613,0.477069903919218,0.011992069915892,0.0129432648615495,0.0141529613648559,1.29711824173159,1.26559398988187,1.26647854023632,"Local services are well coordinated for the person(s) I look after","q37f","1","Received support or help",22.6,29.7,47.7
"999",0.192874663704158,0.364775964332191,0.44234937196365,0.0317960373731329,0.0382231859045658,0.0398622553767514,1.35261264342769,1.31324040330096,1.3416515318721,"Local services are well coordinated for the person(s) I look after","q37f","999","Received support or help",19.3,36.5,44.2
"0",0.248832336508928,0.327706707869341,0.423460955621731,0.00551009085047513,0.00593737643480731,0.0062310447125575,1.2966822543989,1.27733499178148,1.26951953480635,"Local services are well coordinated for the person(s) I look after","q37g","0","Received no support or help",24.9,32.8,42.3
"1",0.371057313241398,0.430272949801853,0.198669736956749,0.00517052014204095,0.00529886494617507,0.00426131718812976,1.25887945368558,1.25870095451015,1.25346498397829,"Local services are well coordinated for the person(s) I look after","q37g","1","Received no support or help",37.1,43,19.9
"999",0.192874663704158,0.364775964332191,0.44234937196365,0.0317960373731329,0.0382231859045658,0.0398622553767514,1.35261264342769,1.31324040330096,1.3416515318721,"Local services are well coordinated for the person(s) I look after","q37g","999","Received no support or help",19.3,36.5,44.2
"0",0.284995936511707,0.432089689783883,0.28291437370441,0.00370558812336478,0.00407325517261765,0.00369900724496251,1.26110710752454,1.26536098067023,1.26220295757599,"I feel supported to continue caring","q37a","0","Received support or help",28.5,43.2,28.3
"1",0.106794306770483,0.237176151715603,0.656029541513914,0.0139350841709798,0.0186863267206615,0.0209380223199479,1.39167641098547,1.31938412029595,1.32814481782802,"I feel supported to continue caring","q37a","1","Received support or help",10.7,23.7,65.6
"999",0.15448965821758,0.363423507525175,0.482086834257245,0.0282058733480477,0.0369433066730028,0.0389898996691516,1.35606835534425,1.31349593377342,1.3556351714114,"I feel supported to continue caring","q37a","999","Received support or help",15.4,36.3,48.2
"0",0.311390556516038,0.443184005991125,0.245425437492837,0.00438756009872646,0.00472120000825843,0.00407091977418579,1.25978573523829,1.2674707915983,1.2557185069664,"I feel supported to continue caring","q37b","0","Received support or help",31.1,44.3,24.5
"1",0.194123737249468,0.379573365544742,0.42630289720579,0.0061153254405975,0.00745560147039935,0.00761298211638548,1.28274887673323,1.26656857688833,1.27162243343228,"I feel supported to continue caring","q37b","1","Received support or help",19.4,38,42.6
"999",0.15448965821758,0.363423507525175,0.482086834257245,0.0282058733480477,0.0369433066730028,0.0389898996691516,1.35606835534425,1.31349593377342,1.3556351714114,"I feel supported to continue caring","q37b","999","Received support or help",15.4,36.3,48.2
"0",0.295484924001818,0.442240138595199,0.262274937402984,0.00393188104896755,0.00429412347321822,0.00380191860235754,1.25615362365259,1.26447798862501,1.26363583065928,"I feel supported to continue caring","q37c","0","Received support or help",29.5,44.2,26.2
"1",0.159597641598597,0.304608174270607,0.535794184130796,0.00837885193045748,0.0105091212739455,0.0113668644942499,1.30011577425174,1.29505555989296,1.29032621614444,"I feel supported to continue caring","q37c","1","Received support or help",16,30.5,53.6
"999",0.15448965821758,0.363423507525175,0.482086834257245,0.0282058733480477,0.0369433066730028,0.0389898996691516,1.35606835534425,1.31349593377342,1.3556351714114,"I feel supported to continue caring","q37c","999","Received support or help",15.4,36.3,48.2
"0",0.281374074153908,0.429054560074745,0.289571365771346,0.00366525975795042,0.00404145621958908,0.00369605232961264,1.26142469134086,1.26592331028801,1.26077886916971,"I feel supported to continue caring","q37d","0","Received support or help",28.1,42.9,29
"1",0.168395788298736,0.25842967915663,0.573174532544633,0.0210000070325392,0.0246762302945437,0.0278478686006743,1.29787636435423,1.30949923650514,1.3064387719329,"I feel supported to continue caring","q37d","1","Received support or help",16.8,25.8,57.3
"999",0.15448965821758,0.363423507525175,0.482086834257245,0.0282058733480477,0.0369433066730028,0.0389898996691516,1.35606835534425,1.31349593377342,1.3556351714114,"I feel supported to continue caring","q37d","999","Received support or help",15.4,36.3,48.2
"0",0.281788562903838,0.429618922800319,0.288592514295842,0.00367426252483613,0.00405066869167694,0.00370417753536448,1.26132672787658,1.26609952724897,1.26369714866074,"I feel supported to continue caring","q37e","0","Received support or help",28.2,43,28.9
"1",0.17264373646886,0.267331957406507,0.560024306124633,0.0196210969607851,0.0228271080531422,0.0254387867005538,1.31949670043331,1.30241319780919,1.28576722976502,"I feel supported to continue caring","q37e","1","Received support or help",17.3,26.7,56
"999",0.15448965821758,0.363423507525175,0.482086834257245,0.0282058733480477,0.0369433066730028,0.0389898996691516,1.35606835534425,1.31349593377342,1.3556351714114,"I feel supported to continue caring","q37e","999","Received support or help",15.4,36.3,48.2
"0",0.290180151810389,0.433121938711262,0.276697909478348,0.0038297070983301,0.00418238291146209,0.00377143960779727,1.26583876492128,1.26651653834761,1.26343188134409,"I feel supported to continue caring","q37f","0","Received support or help",29,43.3,27.7
"1",0.157714377370873,0.343933091863836,0.498352530765291,0.0103002382994098,0.0133302282937774,0.0139886623631999,1.29470468624911,1.27661495146204,1.26888987164134,"I feel supported to continue caring","q37f","1","Received support or help",15.8,34.4,49.8
"999",0.15448965821758,0.363423507525175,0.482086834257245,0.0282058733480477,0.0369433066730028,0.0389898996691516,1.35606835534425,1.31349593377342,1.3556351714114,"I feel supported to continue caring","q37f","999","Received support or help",15.4,36.3,48.2
"0",0.180980196250866,0.361388900908163,0.457630902840971,0.00482777484905356,0.00598594444004229,0.00621347139057207,1.2905103070642,1.27422760686218,1.2765894332803,"I feel supported to continue caring","q37g","0","Received no support or help",18.1,36.1,45.8
"1",0.348550973033977,0.471156701687961,0.180292325278063,0.00504182696694636,0.00529512160626313,0.00408381979207099,1.25288603051145,1.25933690719258,1.26293014745757,"I feel supported to continue caring","q37g","1","Received no support or help",34.9,47.1,18
"999",0.15448965821758,0.363423507525175,0.482086834257245,0.0282058733480477,0.0369433066730028,0.0389898996691516,1.35606835534425,1.31349593377342,1.3556351714114,"I feel supported to continue caring","q37g","999","Received no support or help",15.4,36.3,48.2
