"question","varname","hscp_name","0","1"
"q29b","Yes, help for me with household tasks","East Renfrewshire",94.7,5.3
"q29b","Yes, help for me with household tasks","Edinburgh",95.7,4.3
"q29b","Yes, help for me with household tasks","Falkirk",93.6,6.4
"q29b","Yes, help for me with household tasks","Highland",93.9,6.1
"q29b","Yes, help for me with household tasks","Inverclyde",92.9,7.1
"q29b","Yes, help for me with household tasks","Midlothian",95.5,4.5
"q29b","Yes, help for me with household tasks","Moray",92.8,7.2
"q29b","Yes, help for me with household tasks","North Ayrshire",92.6,7.4
"q29b","Yes, help for me with household tasks","Orkney Islands",94.4,5.6
"q29b","Yes, help for me with household tasks","Renfrewshire",92.6,7.4
"q29b","Yes, help for me with household tasks","Scottish Borders",94.9,5.1
"q29b","Yes, help for me with household tasks","Shetland Islands",95.2,4.8
"q29b","Yes, help for me with household tasks","South Ayrshire",94,6
"q29b","Yes, help for me with household tasks","South Lanarkshire",93.3,6.7
"q29b","Yes, help for me with household tasks","West Dunbartonshire",92.8,7.2
"q29b","Yes, help for me with household tasks","West Lothian",94.1,5.9
"q29b","Yes, help for me with household tasks","Western Isles",94.5,5.5
"q29b","Yes, help for me with household tasks","Fife",93.6,6.4
"q29b","Yes, help for me with household tasks","Perth and Kinross",95.2,4.8
"q29b","Yes, help for me with household tasks","Glasgow City",91.9,8.1
"q29b","Yes, help for me with household tasks","North Lanarkshire",91.6,8.4
"q29c","Yes, help for me for activities outside my home","Aberdeen City",96.9,3.1
"q29c","Yes, help for me for activities outside my home","Aberdeenshire",96.5,3.5
"q29c","Yes, help for me for activities outside my home","Angus",94.8,5.2
"q29c","Yes, help for me for activities outside my home","Argyll and Bute",95.2,4.8
"q29c","Yes, help for me for activities outside my home","Clackmannanshire and Stirling",95.6,4.4
"q29c","Yes, help for me for activities outside my home","Dumfries and Galloway",94.8,5.2
"q29c","Yes, help for me for activities outside my home","Dundee City",94.7,5.3
"q29c","Yes, help for me for activities outside my home","East Ayrshire",93.6,6.4
"q29c","Yes, help for me for activities outside my home","East Dunbartonshire",95.5,4.5
"q29c","Yes, help for me for activities outside my home","East Lothian",96,4
"q29c","Yes, help for me for activities outside my home","East Renfrewshire",95.9,4.1
"q29c","Yes, help for me for activities outside my home","Edinburgh",96.7,3.3
"q29c","Yes, help for me for activities outside my home","Falkirk",94.7,5.3
"q29c","Yes, help for me for activities outside my home","Highland",95.3,4.7
"q29c","Yes, help for me for activities outside my home","Inverclyde",93.9,6.1
"q29c","Yes, help for me for activities outside my home","Midlothian",96.5,3.5
"q29c","Yes, help for me for activities outside my home","Moray",95.3,4.7
"q29c","Yes, help for me for activities outside my home","North Ayrshire",93.3,6.7
"q29c","Yes, help for me for activities outside my home","Orkney Islands",95.6,4.4
"q29c","Yes, help for me for activities outside my home","Renfrewshire",94,6
"q29c","Yes, help for me for activities outside my home","Scottish Borders",95.9,4.1
"q29c","Yes, help for me for activities outside my home","Shetland Islands",95.7,4.3
"q29c","Yes, help for me for activities outside my home","South Ayrshire",95,5
"q29c","Yes, help for me for activities outside my home","South Lanarkshire",94.4,5.6
"q29c","Yes, help for me for activities outside my home","West Dunbartonshire",94,6
"q29c","Yes, help for me for activities outside my home","West Lothian",95,5
"q29c","Yes, help for me for activities outside my home","Western Isles",95.4,4.6
"q29c","Yes, help for me for activities outside my home","Fife",94.9,5.1
"q29c","Yes, help for me for activities outside my home","Perth and Kinross",96.2,3.8
"q29c","Yes, help for me for activities outside my home","Glasgow City",93.6,6.4
"q29c","Yes, help for me for activities outside my home","North Lanarkshire",93.1,6.9
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Aberdeen City",97.3,2.7
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Aberdeenshire",97.4,2.6
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Angus",96.1,3.9
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Argyll and Bute",95.4,4.6
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Clackmannanshire and Stirling",97.4,2.6
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Dumfries and Galloway",96.3,3.7
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Dundee City",95.8,4.2
"q29d","Yes, help for me with adaptations, and/or equipment for my home","East Ayrshire",95.5,4.5
"q29d","Yes, help for me with adaptations, and/or equipment for my home","East Dunbartonshire",97,3
"q29d","Yes, help for me with adaptations, and/or equipment for my home","East Lothian",96.6,3.4
"q29d","Yes, help for me with adaptations, and/or equipment for my home","East Renfrewshire",97.3,2.7
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Edinburgh",97.7,2.3
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Falkirk",96.8,3.2
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Highland",96.2,3.8
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Inverclyde",96,4
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Midlothian",97.5,2.5
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Moray",96.2,3.8
"q29d","Yes, help for me with adaptations, and/or equipment for my home","North Ayrshire",95.6,4.4
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Orkney Islands",95.3,4.7
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Renfrewshire",96.3,3.7
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Scottish Borders",96.8,3.2
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Shetland Islands",96.5,3.5
"q29d","Yes, help for me with adaptations, and/or equipment for my home","South Ayrshire",96.3,3.7
"q29d","Yes, help for me with adaptations, and/or equipment for my home","South Lanarkshire",96.7,3.3
"q29d","Yes, help for me with adaptations, and/or equipment for my home","West Dunbartonshire",95.9,4.1
"q29d","Yes, help for me with adaptations, and/or equipment for my home","West Lothian",96.9,3.1
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Western Isles",96.4,3.6
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Fife",96.6,3.4
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Perth and Kinross",97.3,2.7
"q29d","Yes, help for me with adaptations, and/or equipment for my home","Glasgow City",96.2,3.8
"q29d","Yes, help for me with adaptations, and/or equipment for my home","North Lanarkshire",95.9,4.1
"q29e","Yes, an alarm service that can get me help","Aberdeen City",98.2,1.8
"q29e","Yes, an alarm service that can get me help","Aberdeenshire",98.6,1.4
"q29e","Yes, an alarm service that can get me help","Angus",96.4,3.6
"q29e","Yes, an alarm service that can get me help","Argyll and Bute",97.3,2.7
"q29e","Yes, an alarm service that can get me help","Clackmannanshire and Stirling",98,2
"q29e","Yes, an alarm service that can get me help","Dumfries and Galloway",98,2
"q29e","Yes, an alarm service that can get me help","Dundee City",98,2
"q29e","Yes, an alarm service that can get me help","East Ayrshire",97.4,2.6
"q29e","Yes, an alarm service that can get me help","East Dunbartonshire",98.3,1.7
"q29e","Yes, an alarm service that can get me help","East Lothian",97.8,2.2
"q29e","Yes, an alarm service that can get me help","East Renfrewshire",97.2,2.8
"q29e","Yes, an alarm service that can get me help","Edinburgh",98.7,1.3
"q29e","Yes, an alarm service that can get me help","Falkirk",97.8,2.2
"q29e","Yes, an alarm service that can get me help","Highland",98.7,1.3
"q29e","Yes, an alarm service that can get me help","Inverclyde",97.8,2.2
"q29e","Yes, an alarm service that can get me help","Midlothian",98.2,1.8
"q29e","Yes, an alarm service that can get me help","Moray",97.7,2.3
"q29e","Yes, an alarm service that can get me help","North Ayrshire",97.2,2.8
"q29e","Yes, an alarm service that can get me help","Orkney Islands",97.2,2.8
"q29e","Yes, an alarm service that can get me help","Renfrewshire",98,2
"q29e","Yes, an alarm service that can get me help","Scottish Borders",98.3,1.7
"q29e","Yes, an alarm service that can get me help","Shetland Islands",97.9,2.1
"q29e","Yes, an alarm service that can get me help","South Ayrshire",98,2
"q29e","Yes, an alarm service that can get me help","South Lanarkshire",97.9,2.1
"q29e","Yes, an alarm service that can get me help","West Dunbartonshire",97.9,2.1
"q29e","Yes, an alarm service that can get me help","West Lothian",98.1,1.9
"q29e","Yes, an alarm service that can get me help","Western Isles",97.4,2.6
"q29e","Yes, an alarm service that can get me help","Fife",98.1,1.9
"q29e","Yes, an alarm service that can get me help","Perth and Kinross",98.1,1.9
"q29e","Yes, an alarm service that can get me help","Glasgow City",98.3,1.7
"q29e","Yes, an alarm service that can get me help","North Lanarkshire",98.4,1.6
"q29f","Yes, help to look after someone else","Aberdeen City",98.4,1.6
"q29f","Yes, help to look after someone else","Aberdeenshire",98.5,1.5
"q29f","Yes, help to look after someone else","Angus",97.8,2.2
"q29f","Yes, help to look after someone else","Argyll and Bute",97.7,2.3
"q29f","Yes, help to look after someone else","Clackmannanshire and Stirling",97.8,2.2
"q29f","Yes, help to look after someone else","Dumfries and Galloway",97.9,2.1
"q29f","Yes, help to look after someone else","Dundee City",98,2
"q29f","Yes, help to look after someone else","East Ayrshire",97.6,2.4
"q29f","Yes, help to look after someone else","East Dunbartonshire",97.8,2.2
"q29f","Yes, help to look after someone else","East Lothian",98.3,1.7
"q29f","Yes, help to look after someone else","East Renfrewshire",97.5,2.5
"q29f","Yes, help to look after someone else","Edinburgh",98.5,1.5
"q29f","Yes, help to look after someone else","Falkirk",97.3,2.7
"q29f","Yes, help to look after someone else","Highland",98.1,1.9
"q29f","Yes, help to look after someone else","Inverclyde",97.6,2.4
"q29f","Yes, help to look after someone else","Midlothian",97.1,2.9
"q29f","Yes, help to look after someone else","Moray",97.6,2.4
"q29f","Yes, help to look after someone else","North Ayrshire",97.7,2.3
"q29f","Yes, help to look after someone else","Orkney Islands",97.7,2.3
"q29f","Yes, help to look after someone else","Renfrewshire",97.6,2.4
"q29f","Yes, help to look after someone else","Scottish Borders",98.4,1.6
"q29f","Yes, help to look after someone else","Shetland Islands",97.7,2.3
"q29f","Yes, help to look after someone else","South Ayrshire",97.8,2.2
"q29f","Yes, help to look after someone else","South Lanarkshire",97.8,2.2
"q29f","Yes, help to look after someone else","West Dunbartonshire",97.4,2.6
"q29f","Yes, help to look after someone else","West Lothian",97.5,2.5
"q29f","Yes, help to look after someone else","Western Isles",97.5,2.5
"q29f","Yes, help to look after someone else","Fife",98,2
"q29f","Yes, help to look after someone else","Perth and Kinross",97.9,2.1
"q29f","Yes, help to look after someone else","Glasgow City",97.9,2.1
"q29f","Yes, help to look after someone else","North Lanarkshire",97.5,2.5
"q29g","No, not had any help but I feel that I needed it","Aberdeen City",97.7,2.3
"q29g","No, not had any help but I feel that I needed it","Aberdeenshire",98.4,1.6
"q29g","No, not had any help but I feel that I needed it","Angus",98,2
"q29g","No, not had any help but I feel that I needed it","Argyll and Bute",97.6,2.4
"q29g","No, not had any help but I feel that I needed it","Clackmannanshire and Stirling",98.1,1.9
"q29g","No, not had any help but I feel that I needed it","Dumfries and Galloway",97.9,2.1
"q29g","No, not had any help but I feel that I needed it","Dundee City",97,3
"q29g","No, not had any help but I feel that I needed it","East Ayrshire",97.1,2.9
"q29g","No, not had any help but I feel that I needed it","East Dunbartonshire",98,2
"q29g","No, not had any help but I feel that I needed it","East Lothian",98.5,1.5
"q29g","No, not had any help but I feel that I needed it","East Renfrewshire",98,2
"q29g","No, not had any help but I feel that I needed it","Edinburgh",97.4,2.6
"q29g","No, not had any help but I feel that I needed it","Falkirk",97.1,2.9
"q29g","No, not had any help but I feel that I needed it","Highland",97.6,2.4
"q29g","No, not had any help but I feel that I needed it","Inverclyde",97.6,2.4
"q29g","No, not had any help but I feel that I needed it","Midlothian",97.5,2.5
"q29g","No, not had any help but I feel that I needed it","Moray",97,3
"q29g","No, not had any help but I feel that I needed it","North Ayrshire",97.2,2.8
"q29g","No, not had any help but I feel that I needed it","Orkney Islands",98.6,1.4
"q29g","No, not had any help but I feel that I needed it","Renfrewshire",96.9,3.1
"q29g","No, not had any help but I feel that I needed it","Scottish Borders",97.9,2.1
"q29g","No, not had any help but I feel that I needed it","Shetland Islands",99.1,0.9
"q29g","No, not had any help but I feel that I needed it","South Ayrshire",98.1,1.9
"q29g","No, not had any help but I feel that I needed it","South Lanarkshire",97.3,2.7
"q29g","No, not had any help but I feel that I needed it","West Dunbartonshire",96.8,3.2
"q29g","No, not had any help but I feel that I needed it","West Lothian",97.6,2.4
"q29g","No, not had any help but I feel that I needed it","Western Isles",98.3,1.7
"q29g","No, not had any help but I feel that I needed it","Fife",97.4,2.6
"q29g","No, not had any help but I feel that I needed it","Perth and Kinross",98.2,1.8
"q29g","No, not had any help but I feel that I needed it","Glasgow City",96.5,3.5
"q29g","No, not had any help but I feel that I needed it","North Lanarkshire",97.1,2.9
"q29h","No, not had any help","Aberdeen City",10.4,89.6
"q29h","No, not had any help","Aberdeenshire",9.8,90.2
"q29h","No, not had any help","Angus",13.4,86.6
"q29h","No, not had any help","Argyll and Bute",13.2,86.8
"q29h","No, not had any help","Clackmannanshire and Stirling",12.1,87.9
"q29h","No, not had any help","Dumfries and Galloway",13.2,86.8
"q29h","No, not had any help","Dundee City",14.6,85.4
"q29h","No, not had any help","East Ayrshire",16.2,83.8
"q29h","No, not had any help","East Dunbartonshire",10.9,89.1
"q29h","No, not had any help","East Lothian",10.1,89.9
"q29h","No, not had any help","East Renfrewshire",12.3,87.7
"q29h","No, not had any help","Edinburgh",10.2,89.8
"q29h","No, not had any help","Falkirk",14.4,85.6
"q29h","No, not had any help","Highland",12.8,87.2
"q29h","No, not had any help","Inverclyde",15.3,84.7
"q29h","No, not had any help","Midlothian",11.6,88.4
"q29h","No, not had any help","Moray",14.6,85.4
"q29h","No, not had any help","North Ayrshire",15.9,84.1
"q29h","No, not had any help","Orkney Islands",12.7,87.3
"q29h","No, not had any help","Renfrewshire",14.7,85.3
"q29h","No, not had any help","Scottish Borders",11.1,88.9
"q29h","No, not had any help","Shetland Islands",10.8,89.2
"q29h","No, not had any help","South Ayrshire",12.5,87.5
"q29h","No, not had any help","South Lanarkshire",14,86
"q29h","No, not had any help","West Dunbartonshire",15.4,84.6
"q29h","No, not had any help","West Lothian",13.4,86.6
"q29h","No, not had any help","Western Isles",11.7,88.3
"q29h","No, not had any help","Fife",13.3,86.7
"q29h","No, not had any help","Perth and Kinross",11.2,88.8
"q29h","No, not had any help","Glasgow City",16.5,83.5
"q29h","No, not had any help","North Lanarkshire",16,84
